,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
146,알파박스 앤 다이스 타로 프로세코,25000,"짠맛 치즈, 고소한 치즈, 조개/굴, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A731,ALPHA BOX AND DICE TAROT PROSECCO,호주,맥라렌 베일,알파 박스 & 다이스,프로세코(PROSECCO) 100%,11,3.9,스파클링,3,0,3,0,215,191,구매 불가,https://www.winenara.com/uploads/product/550/2807_detail_089.png,4.380369276
147,라 마스코타 스파클링 로제 엑스트라 브뤼,27000,"짠맛 치즈, 고소한 치즈, 조개/굴, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A703,LA MASCOTA SPARKLING ROSE EXTRA BRUT,아르헨티나,-,Penaflor,피노누아(PINOT NOIR) 100%,12,3.8,스파클링,3,0,3,0,217,65,구매 예약,https://www.winenara.com/uploads/product/550/2732_detail_0100.png,4.276650245
148,하디스 HRB 쉬라즈,52000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03P989,HARDYS HRB SHIRAZ,호주,"호주, 남호주",하디스 (Hardys),쉬라즈(SHIRAZ) 100%,14.5,3.7,레드,4,0,4,4,219,214,구매 예약,https://www.winenara.com/uploads/product/550/2616_detail_031.png,4.172931215
149,베이 오브 파이어 피노누아,45000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q353,Bay of Fires Pinot Noir,호주,타즈매니아,,피노 누아(Pinot Noir) 100%,13.5,4,레드,4,1,3,3,221,81,구매 예약,https://www.winenara.com/uploads/product/550/2600_detail_061.png,4.469212185
150,와일드얼스 리슬링,45000,"민트/바질, 계피/바닐라, 고소한 치즈, 상추.아보카도, 바닷가재/게, 바비큐/데리야키, 강황/쿠민, 버터맛 치즈, 당근/호박, 돼지고기/닭고기, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D713,WILD EARTH RIESLING,뉴질랜드,"센트럴 오타고, 뉴질랜드",Wild earth,리슬링,13,3.8,화이트,4,1,2,0,222,321,구매 예약,https://www.winenara.com/uploads/product/550/2568_detail_010.png,4.26735267
151,바독 레드 블렌드,29000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03P977,BAR DOG RED BLEND,미국,캘리포니아,바 독,"메를로 86%, 카베르네 소비뇽 10%, 쉬라 4%",13.5,3.8,레드,3,0,3,3,224,208,구매 예약,https://www.winenara.com/uploads/product/550/1938_detail_020.png,4.263633639
152,발베란 20 만자나스,69000,없음,https://www.winenara.com/shop/product/product_view?product_cd=04D417,VALVERAN 20 MANZANAS,스페인,사리에고,"마사보 보데가스, 발베란",토착품종 사과,9.5,4.3,화이트,4,4,4,0,227,618,구매 예약,https://www.winenara.com/uploads/product/550/1824_detail_025.png,4.758055094
153,에스쿠도 로호 리제르바 카베르네 소비뇽,24000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03O846,ESCUDO ROJO RESERVA CABERNET SAUVIGNON,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,까베르네 소비뇽(Cabernet Sauvignon) 100%,14,3.7,레드,3,0,3,4,232,314,구매 예약,https://www.winenara.com/uploads/product/550/1152_detail_092.png,4.148757518
154,양가라 올드바인 그르나슈,59000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03J921,YANGARRA OLD VINE GRENACHE,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,그르나슈 (Grenache) 100%,14.5,3.8,레드,4,0,4,3,233,507,구매 불가,https://www.winenara.com/uploads/product/550/1129_detail_018.png,4.246898003
155,맥스 리제르바 샤르도네,24900,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=04D130,MAX RESERVA CHARDONNAY,칠레,아콩카구아 밸리,비냐 에라주리즈,샤르도네 (Chardonnay) 100%,13.5,3.7,화이트,2,0,3,0,234,510,구매 예약,https://www.winenara.com/uploads/product/550/967_detail_086.png,4.145038487
156,에라주리즈 에스테이트 카베르네 소비뇽,17500,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03O890,ERRAZURIZ ESTATE CABERNET SAUVIGNON,칠레,"아콩카구아 밸리, 마이포 밸리",비냐 에라주리즈,까베르네 소비뇽 (Cabernet Sauvignon) 100,13.5,3.5,레드,3,1,3,3,235,642,구매 예약,https://www.winenara.com/uploads/product/550/833_detail_060.png,3.943178972
157,프루노토 부시아 바롤로,119000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R847,PRUNOTTO BUSSIA BAROLO,이탈리아,"피에몬테, 바롤로","프루노토, 안티노리",네비올로(Nebbiolo) 100%,14,4.1,레드,4,0,4,4,237,499,구매 예약,https://www.winenara.com/uploads/product/550/641_detail_092.png,4.539459942
158,에라주리즈 에스테이트 샤르도네,17500,"고소한 치즈, 양파/마늘, 바닷가재/게, 버터맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C038,ERRAZURIZ ESTATE CHARDONNAY,칠레,카사블랑카 밸리,비냐 에라주리즈,샤르도네(CHARDONNAY) 100%,13,3.5,화이트,1,0,2,0,240,166,구매 예약,https://www.winenara.com/uploads/product/550/2958_detail_031.png,3.933881396
159,마스 가비넬 하히심,90000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R135,MAS GABINELE RARISSIME,프랑스,남프랑스,마스 가비넬(MAS GABINELE),"시라(SYRAH)70%, 그르나슈(GRENACHE)25%, 무드베드르(MOURVEDRE) 5%",15,4.2,레드,3,0,4,4,243,410,구매 예약,https://www.winenara.com/uploads/product/550/2925_detail_073.pngg,4.628302851
160,마쎄리아 도피오 파쏘 아파씨멘토,22000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03Q416,MASSERIA DOPPIO PASSO APPASSIMENTO,이탈리아,풀리아,마쎄리아 도피오 파쏘(Masseria Doppio Passo),"네그로 아마로(NEGROAMARO)80%, 말바지아(MALVASIA)10%, 메를로(MERLOT)10%",14.5,3.8,레드,3,0,3,3,244,415,구매 예약,https://www.winenara.com/uploads/product/550/2903_detail_09.png,4.226443336
161,알파박스 앤 다이스 솔라,49000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03P858,ALPHA BOX AND DICE XOLA,호주,"호주, 남호주, 맥라렌 베일",알파박스&다이스 (ALPHA BOX AND DICE),알리아니코(AGLIANICO) 100%,14.2,4.1,레드,3,0,3,4,245,200,구매 예약,https://www.winenara.com/uploads/product/550/2783_detail_030.png,4.52458382
162,에스프리 드 생 피에르,75000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q121,ESPRIT DE SAINT PIERRE,프랑스,"프랑스,보르도,생-쥴리앙",샤또 생 피에르(Chateau Saint-Pierre),"카베르네 소비뇽 (CABERNET SAUVIGNON) 75% , 메를로(MERLOT) 15% , 카베르네 프랑(CABERNET FRANC) 10%",13.5,3.9,레드,3,0,4,4,246,8,구매 예약,https://www.winenara.com/uploads/product/550/2776_detail_075.png,4.322724305
163,쇼 앤 스미스 피노누아,109000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R506,SHAW AND SMITH M3 PINOT NOIR,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,피노누아 (PINOT NOIR) 100%,12.5,3.8,레드,3,0,3,2,247,57,구매 예약,https://www.winenara.com/uploads/product/550/2751_detail_010.jpg,4.22086479
164,앤젤린 캘리포니아 샤르도네,21900,"고소한 치즈, 양파/마늘, 바닷가재/게, 버터맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D889,ANGELINE CALIFORNIA CHARDONNAY,미국,"미국, 캘리포니아",MARTIN RAY and ANGELINE WINERY,샤르도네(CHARDONNAY) 100%,13.5,3.5,화이트,3,0,3,0,248,60,구매 예약,https://www.winenara.com/uploads/product/550/2746_detail_035.jpg,3.919005275
165,벡스 리슬링,9900,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D827,BEX RIESLING,독일,"독일, 나헤",Wineland GmbH,리슬링(RIESLING) 100%,11.5,3.9,화이트,3,1,2,0,249,63,구매 예약,https://www.winenara.com/uploads/product/550/2742_detail_025.png,4.31714576
166,룩벨레어 럭스 팬텀,68000,"짠맛 치즈, 고소한 치즈, 조개/굴, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A559,LUC BELAIRE LUXE RARE BOUTEILLE,프랑스,-,룩 벨레어(Luc Belaire),샤르도네(Chardonnay) 100%,12.5,3.8,스파클링,3,0,3,0,250,64,구매 예약,https://www.winenara.com/uploads/product/550/2733_detail_063.png,4.215286244
167,산 텔모 샤르도네,9900,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D793,SAN TELMO CHARDONNAY,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),샤르도네(CHARDONNAY) 100%,13.7,3.3,화이트,3,1,2,0,252,334,구매 예약,https://www.winenara.com/uploads/product/550/2621_detail_048.png,3.711567214
168,리치텔리 데 라 카사 틴토,49000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q071,RICCITELLI DE LA CASA TINTO,아르헨티나,Mendoza,리치텔리 (Matías Riccitelli),말벡 100%,14,4.1,레드,2,1,4,4,254,337,구매 예약,https://www.winenara.com/uploads/product/550/2580_detail_033.png,4.507848184
169,소피 바롱 그랑 리저브 브뤼,45000,"짠맛 치즈, 고소한 치즈, 조개/굴, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A710,SOPHIE BARON GRANDE RESERVE BRUT,프랑스,샹파뉴,바롱 퓌엔터 CHAMPAGNE BARON FUENTE,"피노 뮈니에(PINOT MEUNIER) 60%, 샤르도네(CHARDONNAY) 30%, PINOT NOIR(피노누아) 10%",12,3.7,샴페인,4,0,3,0,256,206,구매 예약,https://www.winenara.com/uploads/product/550/1940_detail_051.png,4.104129153
170,티터 토터 카베르네 쇼비뇽,150000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03P950,TEETER TOTTER CABERNET SAUVIGNON,미국,"캘리포니아, 나파 밸리",펫 맹 와인즈,카베르네 쇼비뇽 100%,14.1,4.3,레드,3,1,5,3,257,172,구매 예약,https://www.winenara.com/uploads/product/550/1916_detail_072.jpg,4.702269638
171,칠카스 샤르도네,10000,"고소한 치즈, 양파/마늘, 바닷가재/게, 버터맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C234,CHILCAS CHARDONNAY,칠레,마울레 밸리,,샤르도네 100%,14.3,4.3,화이트,3,1,4,0,258,567,구매 예약,https://www.winenara.com/uploads/product/550/1873_detail_020.png,4.700410123
172,칠카스 리제르바 카베르네 소비뇽,15000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03J042,CHILCAS RESERVA CABERNET SAUVIGNON,칠레,"콜차구아 코스타, 롤로",칠카스,"카베르네 소비뇽 91%, 카베르네 프랑 6%, 쁘띠 베르도 3%",14.2,3.4,레드,3,1,4,3,259,578,구매 예약,https://www.winenara.com/uploads/product/550/1872_detail_025.png,3.798550608
173,닥터 린드만 빈50 쉬라즈,13900,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03L937,LINDEMAN'S BIN 50 SHIRAZ,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),쉬라즈 (Shiraz),13.5,3.5,레드,3,0,3,3,261,581,구매 예약,https://www.winenara.com/uploads/product/550/1382_detail_03.png,3.894831577
174,쿠네 리오하 크리안자,22000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03M651,CUNE RIOJA CRIANZA,스페인,리오하 알타,쿠네,"템프라니요 (Tempranillo) 80%, 가르나차 틴타 (Garnacha Tinta) 10%, 마주엘로 (Mazuelo) 10%",13.5,3.5,레드,3,0,3,3,262,580,구매 예약,https://www.winenara.com/uploads/product/550/1259_detail_030.png,3.892972062
175,임페리얼 리오하 그란 레세르바,150000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03K901,CUNE IMPERIAL RIOJA GRAN RESERVA,스페인,리오하 알타,쿠네,"템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo) 5%",13.7,4.3,레드,4,1,4,4,263,592,구매 예약,https://www.winenara.com/uploads/product/550/1257_detail_03.png,4.691112547
176,아콩카구아 코스타 샤르도네,45000,"고소한 치즈, 양파/마늘, 바닷가재/게, 버터맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C578,ACONCAGUA COSTA CHARDONNAY,칠레,아콩카구아 코스타,비냐 에라주리즈,샤르도네 (Chardonnay) 100%,13.5,3.9,화이트,3,0,3,0,264,475,구매 예약,https://www.winenara.com/uploads/product/550/1210_detail_077.png,4.289253032
177,루이 라뚜르 아데슈 샤르도네,25000,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C279,LOUIS LATOUR ARDECHE CHARDONNAY,프랑스,"론, 아데슈",루이 라뚜르,샤르도네 (Chardonnay) 100%,13,3.6,화이트,3,0,2,0,265,170,구매 예약,https://www.winenara.com/uploads/product/550/1086_detail_062.png,3.987393517
178,에리미나 레드,99000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R327,HERRI MINA RED,프랑스,"남서부, 이룰레기","장 끌로드, 올리비에&제프 베루에",까베르네 프랑(Cabernet Franc) 100%,13,3.7,레드,3,0,3,3,266,453,구매 예약,https://www.winenara.com/uploads/product/550/1069_detail_090.png,4.085534002
179,마르케제 안티노리 키안티 클라시코 리제르바,90000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03I727,MARCHESE ANTINORI CHIANTI CLASSICO RISERVA,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제 (Sangiovese) 90%, 까베르네 소비뇽 (Cabernet Sauvignon) 10%",13.5,4.2,레드,4,0,3,5,267,637,구매 불가,https://www.winenara.com/uploads/product/550/927_detail_27.jpeg,4.583674486
180,프루노토 바르바레스코,66000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03O639,PRUNOTTO BARBARESCO,이탈리아,"피에몬테, 바르바레스코","프루노토, 안티노리",네비올로(Nebbiolo) 100%,13,3.9,레드,3,0,3,3,268,232,구매 예약,https://www.winenara.com/uploads/product/550/754_detail_01.png,4.281814971
181,트림바크 게부르츠트라미너,45000,"민트/바질, 계피/바닐라, 고소한 치즈, 상추.아보카도, 바닷가재/게, 바비큐/데리야키, 강황/쿠민, 버터맛 치즈, 당근/호박, 돼지고기/닭고기, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D249,TRIMBACH GEWURZTRAMINER,프랑스,알자스,트림바크,게부르츠트라미너(Gewurztraminer) 100%,13,3.9,화이트,2,1,3,1,269,324,구매 예약,https://www.winenara.com/uploads/product/550/745_detail_037.png,4.279955456
