,이름,영문이름,종류,나라,생산지,제조사,포도품종,주포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소
53,본테라 에퀴녹스 레드,BONTERRA EQUINOX RED,Red,미국,"캘리포니아, 홉랜드, 멘도치노 카운티",본테라 / 콘차 이 토로,"쁘띠 쉬라 33%, 메를로 29%, 쉬라 16%, 진판델 14%, 카베르네 소비뇽 3%, 그외 5%","쁘띠 쉬라 33%, 메를로 29%, 쉬라 16%, 진판델 14%, 카베르네 소비뇽 3%, 그외 5%",14.5,50000,3.7,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1836
54,알파카 소비뇽 블랑,ALPACA SAUVIGNON BLANC,White,칠레,센트럴 밸리,VSPT,소비뇽 블랑(Sauvignon Blanc) 100%,소비뇽 블랑(Sauvignon Blanc) 100%,12,15000,2.9,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1644
55,당장 페이 브뤼,DANGIN FAYS BRUT,Champagne,프랑스,상파뉴(Champagne),당장 & 필스 (Dangin & Fils),"피노 누아 (Pinot Noir) 80%, 샤르도네 (Chardonnay) 10%, 피노 뫼니에 (Pinot Meunier) 10%","피노 누아 (Pinot Noir) 80%, 샤르도네 (Chardonnay) 10%, 피노 뫼니에 (Pinot Meunier) 10%",12,42000,3.7,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1483
56,베이컨,BACON,Red,미국,"미국, 캘리포니아",Guarachi Wine Partners,"시라(SYRAH) 35% , 그르나슈(GRENACHE) 25% , 무르베드르(MOURVEDRE) 20% , 메를로(MERLO)T 10% , 쁘띠 시라(PETITE SIRAH) 10%","시라(SYRAH) 35% , 그르나슈(GRENACHE) 25% , 무르베드르(MOURVEDRE) 20% , 메를로(MERLO)T 10% , 쁘띠 시라(PETITE SIRAH) 10%",15,35000,3.8,3,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2775
57,하디스 HRB 샤르도네,HARDYS HRB CHARDONNAY,White,호주,"호주, 남호주",하디스 (Hardys),샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13.5,70000,3.8,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2616
58,바독 피노누아,BAR DOG PINOT NOIR,Red,미국,캘리포니아,바 독,피노 누아,피노 누아,13.5,32000,3.6,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1936
59,빌라 엠 로미오,VILLA M ROMEO,Red,이탈리아,베로나,IEI,"카베르네 소비뇽, 메를로","카베르네 소비뇽, 메를로",11,13500,2.5,1,3,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1841
60,"마르케제 안티노리, 뀌베 로얄",MARCHESE ANTINORI CUVEE ROYALE,Sparkling,이탈리아,"이탈리아, 롬바르디아, 프란치아코르타 (Franciacorta)",안티노리 (Antinori) 몬테니자,"샤르도네 (Chardonnay) 78%, 피노 누아 (Pinot Noir) 12%, 피노 블랑 (Pinot Blanc) 10%","샤르도네 (Chardonnay) 78%, 피노 누아 (Pinot Noir) 12%, 피노 블랑 (Pinot Blanc) 10%",12.5,48000,3.8,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1450
61,더 페데럴리스트 카베르네 소비뇽,THE FEDERALIST CABERNET SAUVIGNON LODI,Red,미국,"캘리포니아, 로다이",텔라토 패밀리 빈야드 (Terlato Family Vineyards),"까베르네 소비뇽 (Cabernet Sauvignon) 87%, 메를로 (Merlot) 6%, 까베르네 프랑 (Cabernet Franc) 4%, 쁘띠 시라 (Petit Syrah) 2%, 산지오베제 (Sangiovese) 1%","까베르네 소비뇽 (Cabernet Sauvignon) 87%, 메를로 (Merlot) 6%, 까베르네 프랑 (Cabernet Franc) 4%, 쁘띠 시라 (Petit Syrah) 2%, 산지오베제 (Sangiovese) 1%",14.9,100000,3.8,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1352
62,핀카 비야크레세스 프루노,FINCA VILLACRECES PRUNO,Red,스페인,,핀카 비야크레세스 (Finca Villacreces),,,14,45000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1172
63,로스 인토카블레스 말벡,LOS INTOCABLES MALBEC,Red,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),말벡(MALBEC) 100%,말벡(MALBEC) 100%,14,21900,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2850
64,라 크루와 뒤크뤼 보까이유 뀌베 꼴베,LA CROIX DUCRU BEAUCAILLOU CUVEE COLBERT,Red,프랑스,"프랑스, 보르도, St-Julien",샤또 뒤크뤼 보까이유,"카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 35%, 쁘띠 베르도(PETIT VERDOT) 5%","카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 35%, 쁘띠 베르도(PETIT VERDOT) 5%",13.5,150000,4.2,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2760
65,유 원 프리미티보 디 만두리아,U-ONE PRIMITIVO DI MANDURIA,Red,이탈리아,"풀리아, 만두리아",쉥크,프리미티보 100%,프리미티보 100%,14.5,29000,4.2,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1870
66,트루아젤 모스카토,TROISL MOSCATO,White,이탈리아,피에몬테,산테로,모스카토,모스카토,5,09900,3.4,1,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1846
67,젠틀맨즈 컬렉션 카베르네 소비뇽,GENTLEMAN'S COLLECTION CABERNET SAUVIGNON,Red,호주,"호주, 동남부 지역 (South Eastern Australia)",린드만 (Lindeman’s),까베르네 소비뇽 (Cabernet Sauvignon),까베르네 소비뇽 (Cabernet Sauvignon),14.5,40000,3.9,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1419
68,스타즈 콜라이드 소비뇽블랑,STARS COLLIDE SAUVIGNON BLANC,White,뉴질랜드,-,하하 와인즈 HAHA WINES,소비뇽 블랑(SAUVIGNON BLANC)100%,소비뇽 블랑(SAUVIGNON BLANC)100%,12.5,17900,3.9,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2970
69,쇼 앤 스미스 엠쓰리 샤르도네,SHAW AND SMITH M3 CHARDONNAY,White,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13,59000,4.0,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2748
70,산 텔모 리저브 샤르도네,SAN TELMO RESERVE CHARDONNAY,White,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13.9,17900,3.7,3,1,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2624
71,산 필리포 로소 디 몬탈치노 로 스코르노,SAN FILIPPO ROSSO DI MONTALCINO LO SCORNO,Red,이탈리아,몬탈치노,산 필리포,산지오베제 100%,산지오베제 100%,14.5,45000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2048
72,산타 아나 클래식 말벡,SANTA ANA CLASSIC MALBEC,Red,아르헨티나,멘도자 (Mendoza),보데가 산타 아나,말벡 100%,말벡 100%,13,12900,3.2,3,1,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1843
73,샤또 비뇨 생테밀리옹 그랑 크뤼,CHATEAU VIGNOT SAINT EMILION GRAND CRU,Red,프랑스,"보르도, 생테밀리옹",잭슨 패밀리 와인즈,"메를로 70%, 카베르네 프랑 30%","메를로 70%, 카베르네 프랑 30%",13,150000,4.0,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1722
74,셀리에 데 프린스 꼬뜨 뒤 론 그랑 리저브,CELLIER DES PRINCES CDR GRAND RESERVE,Red,프랑스,"남부론, 꼬뜨 뒤 론",셀리에 데 프린스 (Cellier des Princes),"GSM (그르나슈 80%, 시라 15%, 무르베드르 5%)",그르나슈,14,39000,3.8,3,0,2,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1559
75,피에르 뤼통 레드,PIERRE LURTON BORDEAUX RED,Red,프랑스,보르도,피에르 뤼통(Pierre Lurton),"메를로 (Merlot) 50%, 까베르네 프랑 (Caberent Franc) 30%, 까베르네 소비뇽 (Caberent Sauvignon) 20%","메를로 (Merlot) 50%, 까베르네 프랑 (Caberent Franc) 30%, 까베르네 소비뇽 (Caberent Sauvignon) 20%",14.5,45000,3.7,3,1,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1534
76,닥터 린드만 빈90 모스카토,LINDEMAN'S BIN 90 MOSCATO,White,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),머스캣/고르도 (Muscat/Gordo),머스캣/고르도 (Muscat/Gordo),8,20000,3.9,1,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1381
77,맥스 리제르바 시라,MAX RESERVA SYRAH,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,시라(Syrah) 100%,시라(Syrah) 100%,14,35000,3.7,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=770
78,리지니 브루넬로 디 몬탈치노,LISINI BRUNELLO DI MONTALCINO,Red,이탈리아,"이태리, 토스카나",AZIENDA LISINI,산지오베제 (Sangiovese) 100%,산지오베제 (Sangiovese) 100%,14.5,180000,4.3,5,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2657
79,리치텔리 더 파티 말벡,RICCITELLI THE PARTY MALBEC,Red,아르헨티나,Mendoza / Uco Valley,리치텔리 (Matías Riccitelli),말벡 (Malbec) 100%,말벡 (Malbec) 100%,14,35000,4.1,2,1,4,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2578
80,에이 투 지 오레곤 에센스 피노누아,A TO Z OREGON ESSENCE PINOT NOIR,Red,미국,오레곤,에이 투 지 와인웍스,피노누아 100%,피노누아 100%,14,65000,3.8,4,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2563
81,크루즈 토니 포트,CRUZ TAWNY PORT,Red,기타 구대륙,두리엔세 (Duriense) / 포르토 (Porto),포르토 크루즈 (Porto Cruz),"또우리가 나시오날(Touriga Nacional), 또우리가 프랑카(Touriga Franca), 띤따 바호카(Tinta Barroca)","또우리가 나시오날(Touriga Nacional), 또우리가 프랑카(Touriga Franca), 띤따 바호카(Tinta Barroca)",19,30000,3.7,1,4,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2540
82,돈 루치아노 브뤼,DON LUCIANNO BRUT,Sparkling,스페인,스페인,제이 가르시아 까리용,"마카베오, 아이린","마카베오, 아이린",11,07500,3.2,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1804
83,돈 루치아노 모스카토,DON LUCIANO MOSCATO,Sparkling,스페인,스페인,제이 가르시아 까리용,모스카토 100%,모스카토 100%,7,07500,3.2,1,5,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1803
84,보리우 빈야드(BV) 캘리포니아 카베르네 소비뇽,BV CALIFORNIA CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아",보리우 빈야드 (Beaulieu Vineyard),까베르네 소비뇽,까베르네 소비뇽,13.6,35000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1427
85,트림바크 리슬링,TRIMBACH RIESLING,White,프랑스,알자스,트림바크,리슬링(Riesling) 100%,리슬링(Riesling) 100%,13,34900,3.7,3,1,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=740
86,캔달 잭슨 빈트너스 리저브 카베르네 소비뇽,KENDALL JACKSON VINTNER'S RESERVE CABERNET SAUVIGNON,Red,미국,캘리포니아,잭슨 패밀리 와인,"까베르네 소비뇽(Carbernet Sauvignon)92%, 까베르네 프랑(Cabernet Franc)4%쁘띠 베르도(Petit Verdot) 3%, 메를로(Merlot) 1%","까베르네 소비뇽(Carbernet Sauvignon)92%, 까베르네 프랑(Cabernet Franc)4%쁘띠 베르도(Petit Verdot) 3%, 메를로(Merlot) 1%",13.5,55000,3.7,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=495
87,프랑수아 라베 피노누아,FRANCOIS LABET PINOT NOIR,Red,프랑스,"프랑스,코르시카",Francois Labet,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,12,19900,3.5,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2770
88,우나니메 말벡,UNANIME Malbec,Red,아르헨티나,멘도자 (Mendoza),페나플로 (Penaflor),말벡 (Malbec) 100%,말벡 (Malbec) 100%,14.5,70000,4.1,3,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2636
89,산 텔모 리저브 말벡,SAN TELMO RESERVE MALBEC,Red,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),말벡(MALBEC) 100%,말벡(MALBEC) 100%,13.7,13900,3.8,4,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2623
90,닥터루젠 레드 슬레이트 리슬링 드라이,DR. LOOSEN RED SLATE RIESLING DRY,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,리슬링 (RIESLING) 100%,12,27000,3.8,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2606
91,아라스 그랑 빈티지,Arras Grand Vintage,Sparkling,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,"샤르도네(CHARDONNAY) 65%, 피노누아(PINOT NOIR) 35%","샤르도네(CHARDONNAY) 65%, 피노누아(PINOT NOIR) 35%",12.5,99000,4.2,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2586
92,도멘 디지오아 로이예 부르고뉴 피노 누아,DOMAINE DIGIOIA ROYER BOURGOGNE PINOT NOIR,Red,프랑스,"샹볼 뮈지니, 모레이 생 드니",디지오아 로이예,피노 누아 100%,피노 누아 100%,14,70000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1917
93,펫저 안토니 힐 카베르네 소비뇽,FETZER ANTHONY'S HILL CABERNET SAUVIGNON,Red,미국,"캘리포니아, 멘도치노 카운티, 안토니즈 힐",펫저 / 콘차 이 토로,카베르네 소비뇽 100%,카베르네 소비뇽 100%,13.5,15000,3.5,3,1,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1886
94,아콩카구아 알토 카베르네 소비뇽,ACONCAGUA ALTO CABERNET SAUVIGNON,Red,칠레,아콩카구아 알토,비냐 에라주리즈 (Errazuriz),"카베르네 소비뇽 88%, 쁘띠 베르도 7%, 카베르네 프랑 5%","카베르네 소비뇽 88%, 쁘띠 베르도 7%, 카베르네 프랑 5%",14,52000,3.9,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1649
95,로시뇰 코르누 부르고뉴 피노누아,ROSSIGNOL CORNU BOURGOGNE COTE D'OR PINOT NOIR,Red,프랑스,부르고뉴,로시뇰 코르우 에 피스 ( Rossignol Cornu et Fils ),피노 누아 (Pinot Noir),피노 누아 (Pinot Noir),13,45000,3.4,3,0,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1598
96,빌라 엠 골드,VILLA M GOLD,Sparkling,이탈리아,"피에몬테, 아스티",산테로 S.P.A. (Santero S.P.A.),모스카토 (Moscato) 100%,모스카토 (Moscato) 100%,5.5,32000,3.9,2,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1509
97,오르벤,ORBEN,Red,스페인,"스페인, 리오하",보데가스 오르벤 /아르테비노 (Bodegas Orben / Artevino),템프라니요 (Tempranillo) 100%,템프라니요 (Tempranillo) 100%,14.2,65000,4.0,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1440
98,쿠네 베르데호,CUNE RUEDA VERDEJO,White,스페인,루에다,쿠네,베르데호 (Verdejo) 100%,베르데호 (Verdejo) 100%,12.7,16900,3.4,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1260
99,구아도 알 타소 비앙코,GUADO AL TASSO BIANCO,White,이탈리아,"토스카나, 볼게리",안티노리,베르멘티노(Vermentino) 100%,베르멘티노(Vermentino) 100%,12.5,60000,3.9,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=950
100,[하프와인] 알파카 브뤼,ALPACA BRUT,Sparkling,칠레,-,VSPT,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,12,15000,3.0,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2707
101,인비보 X 사라 제시카 파커 말보로 소비뇽 블랑,INVIVO X SJP MALBOROUGH SAUVIGNON BLANC,White,뉴질랜드,뉴질랜드,INVIVO X SJP,소비뇽 블랑(SAUVIGNON BLANC) 100%,소비뇽 블랑(SAUVIGNON BLANC) 100%,13,27000,4.1,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2686
102,산 텔모 말벡,SAN TELMO MALBEC,Red,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),말벡(MALBEC) 100%,말벡(MALBEC) 100%,13.3,09900,3.6,3,1,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2620
103,아라스 블랑드 블랑,ARRAS BLANC DE BLANC NV,Sparkling,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12.5,52000,4.0,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2590
104,아라스 브뤼 엘리트,ARRAS BRUT ELITE,Sparkling,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,"피노누아 49%, 샤르도네 42%, 피노 므니에 9%","피노누아 49%, 샤르도네 42%, 피노 므니에 9%",12.5,62000,3.9,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2585
105,룩벨레어 로제 팬텀,LUC BELAIRE ROSE FANTOME,Rose,프랑스,프로방스 꼬뜨 다쥐르,룩 벨레어,"90% 시라, 5% 그르나슈, 5% 쌩소","90% 시라, 5% 그르나슈, 5% 쌩소",12.5,62000,3.9,3,1,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2546
106,바독 샤르도네,BAR DOG CHARDONNAY,White,미국,캘리포니아,바 독,샤르도네,샤르도네,13.5,29000,3.8,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1937
107,알파카 카베르네 소비뇽,ALPACA CABERNET SAUVIGNON,Red,칠레,센트럴밸리,VSPT,"카베르네 소비뇽(Cabernet Sauvignon) 85%, 시라(Syrah) 15%","카베르네 소비뇽(Cabernet Sauvignon) 85%, 시라(Syrah) 15%",13.1,15000,3.1,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1642
108,닥터 린드만 빈65 샤르도네,LINDEMAN'S BIN 65 CHARDONNAY,White,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),샤르도네 (Chardonnay),샤르도네 (Chardonnay),13.5,20000,3.3,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1379
109,빌라 엠,VILLA M,White,이탈리아,피에몬테,지아니 갈리아르도 (Gianni Gagliardo),모스카토 (Moscato) 100%,모스카토 (Moscato) 100%,5,23000,3.9,1,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1368
110,캔달 잭슨 빈트너스 리저브 메를로,KENDALL JACKSON VINTNER'S RESERVE MELOT,Red,미국,캘리포니아,잭슨 패밀리 와인,"메를로 (Merlot) 94.6%, 말벡 (Malbec) 3.8%, 까베르네 소비뇽 (Cabernet Sauvignon) 0.7%, 까베르네 프랑 (Cabernet Franc) 0.5%, 쁘띠 베르도 (Petit Verdot) 0.3%, 까르메네르 (Carmenere) 0.1%,","메를로 (Merlot) 94.6%, 말벡 (Malbec) 3.8%, 까베르네 소비뇽 (Cabernet Sauvignon) 0.7%, 까베르네 프랑 (Cabernet Franc) 0.5%, 쁘띠 베르도 (Petit Verdot) 0.3%, 까르메네르 (Carmenere) 0.1%,",13.5,55000,3.7,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1073
111,에스쿠도 로호 리제르바 샤르도네,ESCUDO ROJO RESERVA CHARDONNAY,White,칠레,카사블랑카 밸리,바롱 필립 드 로칠드 마이포 칠레,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,14,34000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1051
112,프루노토 바롤로,PRUNOTTO BAROLO,Red,이탈리아,"피에몬테, 바롤로","프루노토, 안티노리",네비올로 (Nebbiolo) 100%,네비올로 (Nebbiolo) 100%,13.5,79000,4.0,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=954
113,에리미나 화이트,HERRI MINA WHITE,White,프랑스,"남서부, 이룰레기",장 끌로드 베루에,"그로 망상 (Gros Manseng), 쁘띠 꾸르뷔 (Petit Courbu), 쁘띠 망상 (Petit Manseng)","그로 망상 (Gros Manseng), 쁘띠 꾸르뷔 (Petit Courbu), 쁘띠 망상 (Petit Manseng)",13,75000,3.8,2,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=938
114,루이 라뚜르 샤블리 1등급,LOUIS LATOUR CHABLIS 1ER CRU,White,프랑스,"부르고뉴, 샤블리",루이 라뚜르,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13,95000,4.0,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=835
115,도멘 드 마르꾸 꼬뜨 뒤 론,DOMAINE DE MARCOUX COTES DU RHONE,Red,프랑스,"론 밸리, 남부 론",도멘 드 마르꾸,"그르나슈 (Grenache) 80%, 무르베드르 (Mourvedre) 20%",그르나슈,14,49000,3.8,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=742
